sale_date,sale_month,sale_quarter,sale_year,block,floor,floor_decade,area_ft,area_m,price
26-May-11,2011-05,2011Q2,2011,8,26,2x,700,65,1409000
4-Jul-11,2011-07,2011Q3,2011,8,26,2x,667,62,1320000
9-May-12,2012-05,2012Q2,2012,8,26,2x,700,65,1502000
30-Mar-11,2011-03,2011Q1,2011,8,27,2x,366,34,748800
1-Apr-11,2011-04,2011Q2,2011,8,27,2x,398,37,816300
6-Apr-11,2011-04,2011Q2,2011,8,27,2x,700,65,1487000
8-Apr-11,2011-04,2011Q2,2011,8,27,2x,398,37,819000
11-Apr-11,2011-04,2011Q2,2011,8,27,2x,366,34,742500
12-Apr-11,2011-04,2011Q2,2011,8,27,2x,667,62,1363000
15-May-12,2012-05,2012Q2,2012,8,27,2x,700,65,1415000
9-Jun-16,2016-06,2016Q2,2016,8,27,2x,366,34,858000
18-Apr-11,2011-04,2011Q2,2011,8,28,2x,700,65,1523000
19-Apr-11,2011-04,2011Q2,2011,8,28,2x,366,34,788400
20-Apr-11,2011-04,2011Q2,2011,8,28,2x,366,34,762300
3-May-11,2011-05,2011Q2,2011,8,28,2x,398,37,883800
6-May-11,2011-05,2011Q2,2011,8,28,2x,398,37,880200
25-Jul-11,2011-07,2011Q3,2011,8,28,2x,667,62,1328000
11-Nov-11,2011-11,2011Q4,2011,8,28,2x,667,62,1368000
26-Jun-12,2012-06,2012Q2,2012,8,28,2x,700,65,1420000
